Item,Code,Price,Quantity,Category,Material,Finish
Kitchen Base Cabinet 12",KB-12,380.00,4,Cabinet,Maple,Natural
Kitchen Base Cabinet 15",KB-15,410.00,6,Cabinet,Maple,Natural
Kitchen Base Cabinet 18",KB-18,435.00,8,Cabinet,Maple,Natural
Kitchen Base Cabinet 21",KB-21,445.00,5,Cabinet,Maple,Natural
Kitchen Base Cabinet 24",KB-24,450.00,8,Cabinet,Maple,Natural
Kitchen Base Cabinet 27",KB-27,475.00,3,Cabinet,Maple,Natural
Kitchen Base Cabinet 30",KB-30,520.00,4,Cabinet,Maple,Natural
Kitchen Base Cabinet 33",KB-33,545.00,2,Cabinet,Maple,Natural
Kitchen Base Cabinet 36",KB-36,580.00,6,Cabinet,Maple,Natural
Kitchen Wall Cabinet 12",KW-12,245.00,8,Cabinet,Maple,Natural
Kitchen Wall Cabinet 15",KW-15,265.00,6,Cabinet,Maple,Natural
Kitchen Wall Cabinet 18",KW-18,285.00,10,Cabinet,Maple,Natural
Kitchen Wall Cabinet 21",KW-21,305.00,4,Cabinet,Maple,Natural
Kitchen Wall Cabinet 24",KW-24,285.00,8,Cabinet,Maple,Natural
Kitchen Wall Cabinet 27",KW-27,315.00,3,Cabinet,Maple,Natural
Kitchen Wall Cabinet 30",KW-30,320.00,6,Cabinet,Maple,Natural
Kitchen Wall Cabinet 33",KW-33,345.00,2,Cabinet,Maple,Natural
Kitchen Wall Cabinet 36",KW-36,365.00,4,Cabinet,Maple,Natural
Kitchen Tall Cabinet 12",KT-12,685.00,2,Cabinet,Maple,Natural
Kitchen Tall Cabinet 15",KT-15,715.00,1,Cabinet,Maple,Natural
Kitchen Tall Cabinet 18",KT-18,745.00,3,Cabinet,Maple,Natural
Kitchen Tall Cabinet 21",KT-21,775.00,1,Cabinet,Maple,Natural
Kitchen Tall Cabinet 24",KT-24,805.00,2,Cabinet,Maple,Natural
Kitchen Pantry Cabinet 84",KP-84,890.00,2,Cabinet,Maple,Natural
Kitchen Corner Base 36",KCB-36,675.00,1,Cabinet,Maple,Natural
Kitchen Corner Wall 24",KCW-24,485.00,1,Cabinet,Maple,Natural
Kitchen Island Base 48",KIB-48,750.00,1,Cabinet,Maple,Natural
Kitchen Island Base 60",KIB-60,925.00,1,Cabinet,Maple,Natural
Kitchen Island Base 72",KIB-72,1100.00,1,Cabinet,Maple,Natural
Bathroom Vanity 18",BV-18,425.00,2,Vanity,Oak,Espresso
Bathroom Vanity 24",BV-24,485.00,4,Vanity,Oak,Espresso
Bathroom Vanity 30",BV-30,565.00,3,Vanity,Oak,Espresso
Bathroom Vanity 36",BV-36,650.00,3,Vanity,Oak,Espresso
Bathroom Vanity 42",BV-42,735.00,2,Vanity,Oak,Espresso
Bathroom Vanity 48",BV-48,825.00,1,Vanity,Oak,Espresso
Bathroom Vanity 60",BV-60,1050.00,1,Vanity,Oak,Espresso
Bathroom Vanity 72",BV-72,1285.00,1,Vanity,Oak,Espresso
Bathroom Linen Cabinet 12",BLC-12,385.00,3,Cabinet,Oak,Espresso
Bathroom Linen Cabinet 15",BLC-15,415.00,2,Cabinet,Oak,Espresso
Bathroom Linen Cabinet 18",BLC-18,445.00,4,Cabinet,Oak,Espresso
Bathroom Wall Cabinet 12",BWC-12,225.00,6,Cabinet,Oak,Espresso
Bathroom Wall Cabinet 15",BWC-15,245.00,4,Cabinet,Oak,Espresso
Bathroom Wall Cabinet 18",BWC-18,265.00,8,Cabinet,Oak,Espresso
Bathroom Wall Cabinet 24",BWC-24,305.00,3,Cabinet,Oak,Espresso
Bathroom Mirror 18",BM-18,95.00,4,Mirror,Glass,Beveled
Bathroom Mirror 24",BM-24,125.00,3,Mirror,Glass,Beveled
Bathroom Mirror 30",BM-30,155.00,2,Mirror,Glass,Beveled
Bathroom Mirror 36",BM-36,185.00,2,Mirror,Glass,Beveled
Bathroom Mirror 42",BM-42,215.00,1,Mirror,Glass,Beveled
Bathroom Mirror 48",BM-48,245.00,1,Mirror,Glass,Beveled
Kitchen Countertop Granite 25SF,KCG-25,875.00,3,Countertop,Granite,Black Pearl
Kitchen Countertop Granite 30SF,KCG-30,1050.00,2,Countertop,Granite,Black Pearl
Kitchen Countertop Granite 35SF,KCG-35,1225.00,1,Countertop,Granite,Black Pearl
Kitchen Countertop Quartz 25SF,KCQ-25,1125.00,2,Countertop,Quartz,White
Kitchen Countertop Quartz 30SF,KCQ-30,1350.00,1,Countertop,Quartz,White
Kitchen Countertop Quartz 35SF,KCQ-35,1575.00,1,Countertop,Quartz,White
Kitchen Island Top Granite 15SF,KIG-15,525.00,1,Countertop,Granite,Black Pearl
Kitchen Island Top Granite 20SF,KIG-20,700.00,1,Countertop,Granite,Black Pearl
Kitchen Island Top Granite 25SF,KIG-25,875.00,1,Countertop,Granite,Black Pearl
Kitchen Island Top Quartz 15SF,KIQ-15,675.00,1,Countertop,Quartz,White
Kitchen Island Top Quartz 20SF,KIQ-20,900.00,1,Countertop,Quartz,White
Kitchen Island Top Quartz 25SF,KIQ-25,1125.00,1,Countertop,Quartz,White
Bathroom Countertop 24SF,BCT-24,360.00,3,Countertop,Quartz,White
Bathroom Countertop 30SF,BCT-30,450.00,2,Countertop,Quartz,White
Bathroom Countertop 36SF,BCT-36,540.00,2,Countertop,Quartz,White
Bathroom Countertop 42SF,BCT-42,630.00,1,Countertop,Quartz,White
Bathroom Countertop 48SF,BCT-48,480.00,2,Countertop,Quartz,White
Kitchen Sink Undermount Single,KS-US,285.00,1,Fixture,Stainless Steel,Brushed
Kitchen Sink Undermount Double,KS-UD,385.00,1,Fixture,Stainless Steel,Brushed
