Cabinet Code,Description,Material,Quantity,Unit Price,Total Cost
CAB001,Kitchen Base Cabinet,Oak Wood,10,25000,250000
CAB002,Wall Cabinet,Plywood,15,18000,270000
CAB003,Tall Storage Unit,MDF,8,32000,256000
CAB004,Corner Cabinet,Oak Wood,5,28000,140000
CAB005,Drawer Unit,Plywood,12,22000,264000
CAB006,Pantry Cabinet,Oak Wood,6,45000,270000
CAB007,Island Cabinet,Marble Top,4,55000,220000
CAB008,Wine Rack Cabinet,Oak Wood,3,38000,114000
CAB009,Display Cabinet,Glass Front,8,42000,336000
CAB010,Shoe Cabinet,MDF,10,15000,150000
